CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
04-MAY-19 10.30.00 AM,0.75
04-MAY-19 10.15.00 AM,1.22
04-MAY-19 10.00.00 AM,1.51
04-MAY-19 09.30.00 AM,1.16
04-MAY-19 09.45.00 AM,1.02
04-MAY-19 09.00.00 AM,0.95
04-MAY-19 09.15.00 AM,0.86
04-MAY-19 08.45.00 AM,0.77
04-MAY-19 08.30.00 AM,0.78
04-MAY-19 08.00.00 AM,1.2
04-MAY-19 08.15.00 AM,0.95
04-MAY-19 07.45.00 AM,1.07
04-MAY-19 07.15.00 AM,0.9
04-MAY-19 07.30.00 AM,0.95
04-MAY-19 07.00.00 AM,0.8
04-MAY-19 06.45.00 AM,0.83
04-MAY-19 06.30.00 AM,0.29
04-MAY-19 06.15.00 AM,0.36
04-MAY-19 06.00.00 AM,0.35
04-MAY-19 05.45.00 AM,0.15
04-MAY-19 05.30.00 AM,0.14
04-MAY-19 05.15.00 AM,0.46
04-MAY-19 05.00.00 AM,0.31
04-MAY-19 04.45.00 AM,0.29
04-MAY-19 04.30.00 AM,0.24
04-MAY-19 04.00.00 AM,0.41
04-MAY-19 04.15.00 AM,0.27
04-MAY-19 03.30.00 AM,0.5
04-MAY-19 03.45.00 AM,0.26
04-MAY-19 03.15.00 AM,0.4
04-MAY-19 02.45.00 AM,0.37
04-MAY-19 03.00.00 AM,0.54
04-MAY-19 02.15.00 AM,0.44
04-MAY-19 02.30.00 AM,0.33
04-MAY-19 02.00.00 AM,0.63
04-MAY-19 01.30.00 AM,0.8
04-MAY-19 01.45.00 AM,0.37
04-MAY-19 01.15.00 AM,1.3
04-MAY-19 01.00.00 AM,1.39
04-MAY-19 12.45.00 AM,0.97
04-MAY-19 12.15.00 AM,1.47
04-MAY-19 12.30.00 AM,1.87
04-MAY-19 12.00.00 AM,1.28
04-MAY-19 12.00.00 AM,1.28
05-MAY-19 03.00.00 PM,1.5
05-MAY-19 03.15.00 PM,1.65
05-MAY-19 02.30.00 PM,2.23
05-MAY-19 02.45.00 PM,1.39
05-MAY-19 02.00.00 PM,1.76
05-MAY-19 02.15.00 PM,1.71
05-MAY-19 01.45.00 PM,1.58
05-MAY-19 01.00.00 PM,1.52
05-MAY-19 01.15.00 PM,2.12
05-MAY-19 01.30.00 PM,2.56
05-MAY-19 12.45.00 PM,1.7
05-MAY-19 12.15.00 PM,1.12
05-MAY-19 12.30.00 PM,1.66
05-MAY-19 11.45.00 AM,0.94
05-MAY-19 12.00.00 PM,0.97
05-MAY-19 11.15.00 AM,1
05-MAY-19 11.30.00 AM,0.97
05-MAY-19 10.45.00 AM,0.78
05-MAY-19 11.00.00 AM,1.39
05-MAY-19 10.15.00 AM,1.17
05-MAY-19 10.30.00 AM,0.84
05-MAY-19 10.00.00 AM,1.08
05-MAY-19 09.45.00 AM,1.04
05-MAY-19 09.30.00 AM,1.06
05-MAY-19 09.00.00 AM,1.01
05-MAY-19 09.15.00 AM,0.95
05-MAY-19 08.30.00 AM,0.76
05-MAY-19 08.45.00 AM,0.6
05-MAY-19 08.15.00 AM,1.23
05-MAY-19 07.45.00 AM,0.61
05-MAY-19 08.00.00 AM,0.83
05-MAY-19 07.30.00 AM,0.57
05-MAY-19 07.15.00 AM,0.5
05-MAY-19 06.45.00 AM,0.39
05-MAY-19 07.00.00 AM,0.54
05-MAY-19 06.30.00 AM,0.3
05-MAY-19 06.15.00 AM,0.25
05-MAY-19 06.00.00 AM,0.3
05-MAY-19 05.45.00 AM,0.13
05-MAY-19 05.30.00 AM,0.17
05-MAY-19 05.15.00 AM,0.39
05-MAY-19 05.00.00 AM,0.32
05-MAY-19 04.45.00 AM,0.26
05-MAY-19 04.15.00 AM,0.25
05-MAY-19 04.30.00 AM,0.35
05-MAY-19 04.00.00 AM,0.39
05-MAY-19 03.30.00 AM,0.46
05-MAY-19 03.45.00 AM,0.46
05-MAY-19 03.00.00 AM,0.58
05-MAY-19 03.15.00 AM,0.42
05-MAY-19 02.30.00 AM,0.48
05-MAY-19 02.45.00 AM,0.47
05-MAY-19 02.15.00 AM,0.63
05-MAY-19 01.45.00 AM,0.55
05-MAY-19 02.00.00 AM,0.61
05-MAY-19 01.15.00 AM,0.77
